PSID,year,DPROVI,DKABUP,y,CAPITAL,MATERIAL,va,l,k,m,i
37388,2013,32,1.0,18.073786,163801.08,27740418.0,17.112455,6.5510802,13.421415,17.202454,0.0
37388,2014,32,1.0,18.202564,155481.02,36245064.0,17.542698,6.5147128,12.846186,17.469866,0.0
37388,2015,32,1.0,18.232988,157038.94,50796728.0,17.447454,6.5147128,13.266263,17.807394,7.3511081
37400,2011,32,4.0,20.194445,11641.743,119677360.0,19.552629,6.2146082,11.711866,18.613363,0.0
37400,2012,32,4.0,17.602407,11151.323,15380537.0,16.868916,6.2146082,9.0402632,16.561668,0.0
37400,2013,32,4.0,16.082428,0.0,628875.31,15.584969,5.9026332,11.8706,14.166718,0.0
37400,2014,32,4.0,17.446682,53999.938,14334381.0,16.919712,6.6133842,13.138024,16.54751,10.896738
37400,2015,32,4.0,17.440825,82383.102,20989964.0,16.764837,6.7238326,13.200934,16.940989,10.253551
37407,2011,32,16.0,15.576415,28773.518,1445905.4,14.507529,4.1743875,8.6934967,14.838942,0.0
37407,2012,32,16.0,15.562186,27561.404,1052576.1,14.828694,4.1743875,8.1276999,14.521447,0.0
37407,2013,32,16.0,16.290794,25377.232,2248592.3,15.441135,4.1743875,8.9356403,15.280511,0.0
37407,2014,32,16.0,15.862239,24088.23,1933505.3,15.202372,4.1743875,8.8975458,15.12954,0.0
37407,2015,32,16.0,15.892663,24329.596,2709769.3,15.10713,4.1743875,9.3175793,15.46707,5.4863114
37408,2011,32,7.0,13.465635,2701.8572,390158.84,12.047318,3.3322046,8.0096951,13.002331,0.0
37408,2012,32,7.0,13.460485,2578.9578,379259.03,12.208164,3.4011974,8.9682684,12.97068,0.0
37408,2013,32,7.0,15.483703,2374.582,1704382.4,14.634044,3.3672957,8.7277784,14.473419,0.0
37408,2014,32,7.0,15.143117,4936.5078,216096.75,15.059533,3.6375861,9.8201056,12.571859,7.8485146
37408,2015,32,7.0,14.960036,7054.1084,202185.84,15.053983,3.583519,8.6965103,12.484761,7.6580391
37422,2012,36,71.0,14.971317,0.0,0.0,14.237826,3.583519,11.75106,13.930578,0.0
37422,2013,36,71.0,15.699926,0.0,0.0,14.850267,3.583519,12.559086,14.689642,0.0
37422,2014,36,71.0,15.27137,0.0,0.0,14.611504,3.583519,12.520986,14.538672,0.0
37422,2015,36,71.0,15.301795,0.0,0.0,14.516261,3.583519,12.941062,14.876201,0.0
37427,2011,32,73.0,16.412664,96.698044,6356297.0,15.343778,5.0106354,12.941062,15.67519,0.0
37427,2012,32,73.0,16.398434,92.624542,4627195.0,15.664943,5.0106354,12.941062,15.357695,0.0
37427,2013,32,73.0,17.127043,85.284279,9884961.0,16.277384,5.0106354,12.941062,16.116758,0.0
37427,2014,32,73.0,15.238032,1764.1746,1308984.6,14.764518,4.7874918,10.841658,14.255563,7.4258881
